"filename", "language", "Python", "XML", "Markdown", "JavaScript", "CSS", "JavaScript React", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\joeljo\Desktop\TY-project\landing page\bioinformatics\.VSCodeCounter\2022-02-26_23-03-14\details.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\joeljo\Desktop\TY-project\landing page\bioinformatics\.VSCodeCounter\2022-02-26_23-03-14\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\joeljo\Desktop\TY-project\landing page\bioinformatics\.VSCodeCounter\2022-02-26_23-03-14\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\joeljo\Desktop\TY-project\landing page\bioinformatics\.VSCodeCounter\2022-02-26_23-03-14\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\joeljo\Desktop\TY-project\landing page\bioinformatics\.VSCodeCounter\2022-02-26_23-03-14\results.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
"c:\Users\joeljo\Desktop\TY-project\landing page\bioinformatics\.idea\bioinformatics.iml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\joeljo\Desktop\TY-project\landing page\bioinformatics\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\joeljo\Desktop\TY-project\landing page\bioinformatics\.idea\misc.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\joeljo\Desktop\TY-project\landing page\bioinformatics\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\joeljo\Desktop\TY-project\landing page\bioinformatics\Pulse~DNA-analyser.py", "Python", 57, 0, 0, 0, 0, 0, 0, 0, 17, 20, 94
"c:\Users\joeljo\Desktop\TY-project\landing page\cryptograph\.VSCodeCounter\2022-02-26_23-05-46\details.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 0, 6, 18
"c:\Users\joeljo\Desktop\TY-project\landing page\cryptograph\.VSCodeCounter\2022-02-26_23-05-46\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\joeljo\Desktop\TY-project\landing page\cryptograph\.VSCodeCounter\2022-02-26_23-05-46\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\joeljo\Desktop\TY-project\landing page\cryptograph\.VSCodeCounter\2022-02-26_23-05-46\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\joeljo\Desktop\TY-project\landing page\cryptograph\.VSCodeCounter\2022-02-26_23-05-46\results.md", "Markdown", 0, 0, 16, 0, 0, 0, 0, 0, 0, 7, 23
"c:\Users\joeljo\Desktop\TY-project\landing page\cryptograph\pulse.css", "CSS", 0, 0, 0, 0, 68, 0, 0, 0, 1, 9, 78
"c:\Users\joeljo\Desktop\TY-project\landing page\cryptograph\pulse.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 76, 6, 8, 90
"c:\Users\joeljo\Desktop\TY-project\landing page\cryptograph\script.js", "JavaScript", 0, 0, 0, 165, 0, 0, 0, 0, 17, 19, 201
"c:\Users\joeljo\Desktop\TY-project\landing page\landing.css", "CSS", 0, 0, 0, 0, 85, 0, 0, 0, 0, 24, 109
"c:\Users\joeljo\Desktop\TY-project\landing page\landing.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 80, 0, 7, 87
"c:\Users\joeljo\Desktop\TY-project\landing page\main.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 1, 3, 44
"c:\Users\joeljo\Desktop\TY-project\landing page\news-app\.VSCodeCounter\2022-02-26_23-09-14\details.md", "Markdown", 0, 0, 16, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\joeljo\Desktop\TY-project\landing page\news-app\.VSCodeCounter\2022-02-26_23-09-14\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\joeljo\Desktop\TY-project\landing page\news-app\.VSCodeCounter\2022-02-26_23-09-14\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 19
