Date : 2022-02-26 23:15:22
Directory : c:\Users\joeljo\Desktop\TY-project
Total : 125 files,  51366 codes, 73 comments, 3632 blanks, all 55071 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |         13 |     29,685 |          0 |          6 |     29,691 |
| CSS              |          9 |     18,905 |          5 |      3,016 |     21,926 |
| JavaScript       |         23 |      1,061 |         19 |        114 |      1,194 |
| Markdown         |         31 |        539 |          0 |        257 |        796 |
| HTML             |          9 |        395 |         16 |         87 |        498 |
| JavaScript React |          8 |        369 |          6 |         57 |        432 |
| Python           |          7 |        241 |         27 |         95 |        363 |
| XML              |         25 |        171 |          0 |          0 |        171 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        125 |     51,366 |         73 |      3,632 |     55,071 |
| landing page                                                                                                      |         62 |     20,298 |         50 |      3,281 |     23,629 |
| landing page\bioinformatics                                                                                       |         10 |        136 |         17 |         46 |        199 |
| landing page\bioinformatics\.VSCodeCounter                                                                        |          5 |         53 |          0 |         26 |         79 |
| landing page\bioinformatics\.VSCodeCounter\2022-02-26_23-03-14                                                    |          5 |         53 |          0 |         26 |         79 |
| landing page\bioinformatics\.idea                                                                                 |          4 |         26 |          0 |          0 |         26 |
| landing page\bioinformatics\.idea\inspectionProfiles                                                              |          1 |          6 |          0 |          0 |          6 |
| landing page\cryptograph                                                                                          |          8 |        359 |         24 |         62 |        445 |
| landing page\cryptograph\.VSCodeCounter                                                                           |          5 |         50 |          0 |         26 |         76 |
| landing page\cryptograph\.VSCodeCounter\2022-02-26_23-05-46                                                       |          5 |         50 |          0 |         26 |         76 |
| landing page\news-app                                                                                             |         12 |        198 |          0 |         65 |        263 |
| landing page\news-app\.VSCodeCounter                                                                              |          5 |         59 |          0 |         26 |         85 |
| landing page\news-app\.VSCodeCounter\2022-02-26_23-09-14                                                          |          5 |         59 |          0 |         26 |         85 |
| landing page\news-app\.idea                                                                                       |          4 |         29 |          0 |          0 |         29 |
| landing page\news-app\.idea\inspectionProfiles                                                                    |          1 |          6 |          0 |          0 |          6 |
| landing page\news-app\static                                                                                      |          1 |         63 |          0 |         11 |         74 |
| landing page\news-app\templates                                                                                   |          1 |         24 |          0 |         16 |         40 |
| landing page\stocks-graph                                                                                         |         10 |        115 |          4 |         42 |        161 |
