"filename", "language", "XML", "HTML", "CSS", "Python", "comment", "blank", "total"
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.idea\inspectionProfiles\profiles_settings.xml", "XML", 6, 0, 0, 0, 0, 0, 6
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.idea\misc.xml", "XML", 7, 0, 0, 0, 0, 0, 7
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.idea\modules.xml", "XML", 8, 0, 0, 0, 0, 0, 8
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 6
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.idea\weatherapp.iml", "XML", 8, 0, 0, 0, 0, 0, 8
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\app.py", "Python", 0, 0, 0, 31, 0, 16, 47
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\static\style.css", "CSS", 0, 0, 63, 0, 0, 11, 74
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\templates\bulma.css", "CSS", 0, 0, 9247, 0, 2, 1470, 10719
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\templates\styles.css", "CSS", 0, 0, 9247, 0, 2, 1470, 10719
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\templates\weather.html", "HTML", 0, 73, 0, 0, 0, 6, 79
"Total", "-", 35, 73, 18557, 31, 4, 2973, 21673
